Company,Pattern,Time Frame,Created Date & Time,Open,High,Low,Close,Volume
TCS,10min,Three White Soldiers,2025-04-23 12:20:00,3413.7,3418.0,3412.4,3413.9,41031.0
TCS,10min,Hammer,2025-04-23 14:20:00,3415.0,3416.3,3413.5,3415.7,71244.0
TCS,10min,Hammer,2025-04-24 09:10:00,3401.1,3402.6,3389.1,3399.4,92999.0
TCS,10min,Hammer,2025-04-25 13:10:00,3437.6,3440.0,3431.7,3439.5,34076.0
TCS,10min,Hammer,2025-04-25 13:50:00,3454.4,3455.0,3450.0,3453.1,27541.0
TCS,10min,Hammer,2025-04-25 14:40:00,3450.8,3452.0,3444.3,3451.5,89674.0
TCS,10min,Dragonfly Doji,2025-04-25 14:40:00,3450.8,3452.0,3444.3,3451.5,89674.0
TCS,10min,Hammer,2025-04-28 11:00:00,3432.2,3433.2,3425.3,3430.4,40492.0
TCS,10min,Hammer,2025-04-28 11:10:00,3430.4,3432.8,3425.5,3431.9,105125.0
TCS,10min,Evening Star,2025-04-28 11:40:00,3443.6,3444.8,3436.1,3436.9,25036.0
